iter	RMSE
0	75894.60541
1	74280.771
2	72437.89343
3	70665.60383
4	68798.66291
5	67211.19295
6	65953.46528
7	64454.90432
8	62864.46605
9	61490.4849
10	60058.01179
11	58924.28439
12	57755.97127
13	56619.46782
14	55324.0193
15	54169.45392
16	53042.81098
17	52004.14458
18	50943.5547
19	49906.01676
20	48895.37484
21	48015.68678
22	47210.41319
23	46369.47963
24	45487.94218
25	44724.26126
26	44029.82599
27	43342.37518
28	42476.635
29	41850.98491
30	41188.59321
31	40582.92453
32	39956.11932
33	39328.23769
34	38822.60514
35	38241.049
36	37727.20779
37	37266.28222
38	36697.08889
39	36222.36106
40	35708.98829
41	35269.60034
42	34840.13241
43	34469.2067
44	34126.58263
45	33714.80497
46	33294.366
47	32828.41717
48	32460.66335
49	32116.69918
50	31791.93153
51	31441.93065
52	31095.62592
53	30849.81942
54	30542.24158
55	30182.27423
56	29912.58387
57	29598.71973
58	29379.11033
59	29087.86853
60	28860.83678
61	28714.58046
62	28500.855
63	28209.51001
64	27991.64081
65	27781.72113
66	27534.47526
67	27213.15481
68	27027.86388
69	26792.28939
70	26620.76298
71	26429.71606
72	26247.582
73	26104.37818
74	25912.78959
75	25727.65322
76	25603.32734
77	25418.03832
78	25288.10526
79	25174.48571
80	25066.43001
81	24868.9475
82	24726.27269
83	24636.95939
84	24528.23264
85	24312.11651
86	24166.97434
87	24026.71212
88	23895.51947
89	23871.44618
90	23755.15381
91	23603.77593
92	23494.49055
93	23383.76786
94	23284.11303
95	23205.85477
96	23114.01976
97	22974.79398
98	22881.3507
99	22768.9747
100	22656.45732
101	22556.97258
102	22462.47721
103	22352.84648
104	22263.54813
105	22134.35771
106	22042.41826
107	21967.57731
108	21841.55892
109	21749.23991
110	21656.19386
111	21595.73136
112	21527.27851
113	21440.61783
114	21347.52949
115	21301.19686
116	21220.7333
117	21117.72247
118	21059.60891
119	20988.20468
120	20909.76887
121	20819.85227
122	20740.48307
123	20677.87575
124	20624.0281
125	20547.15069
126	20532.30777
127	20444.71158
128	20392.93102
129	20328.63586
130	20259.20151
131	20214.62543
132	20164.5595
133	20093.23431
134	20049.59798
135	19982.95792
136	19938.05437
137	19868.69137
138	19858.40258
139	19773.01576
140	19723.80424
141	19682.35432
142	19626.20363
143	19564.457
144	19501.90413
145	19431.71371
146	19342.69083
147	19337.39809
148	19274.62243
149	19215.34923
150	19140.92052
151	19084.65611
152	19023.65608
153	18951.36337
154	18897.05937
155	18888.7032
156	18831.46407
157	18787.97407
158	18749.58518
159	18703.14879
160	18682.15063
161	18652.20986
162	18579.10527
163	18534.02578
164	18504.70145
165	18450.47372
166	18440.82725
167	18383.63497
168	18363.18402
169	18331.38685
170	18283.65534
171	18271.91419
172	18253.06945
173	18188.70759
174	18142.94566
175	18110.63069
176	18040.32341
177	17987.8179
178	17950.62063
179	17905.54029
180	17861.55944
181	17818.68681
182	17771.81125
183	17724.81246
184	17680.20367
185	17637.94548
186	17611.59169
187	17533.44647
188	17504.25276
189	17459.99201
190	17421.58188
191	17386.21959
192	17356.95734
193	17311.17214
194	17267.80446
195	17218.79521
196	17180.33727
197	17163.62569
198	17110.47743
199	17053.56546
200	17027.0428
201	17005.79143
202	16963.00842
203	16924.19603
204	16901.90401
205	16883.1244
206	16847.80162
207	16830.42144
208	16816.02508
209	16783.22548
210	16755.22381
211	16726.23301
212	16702.32072
213	16684.53867
214	16633.23613
215	16603.14386
216	16563.01647
217	16522.01583
218	16491.03216
219	16456.07038
220	16439.95959
221	16421.48677
222	16372.72917
223	16352.92973
224	16341.70261
225	16322.83973
226	16316.40025
227	16300.94757
228	16279.00088
229	16218.43186
230	16185.65696
231	16140.88129
232	16132.22037
233	16079.17493
234	16050.2927
235	16015.48507
236	16005.85611
237	15956.71283
238	15952.43731
239	15921.37759
240	15880.28439
241	15861.90519
242	15835.00691
243	15802.96189
244	15788.45435
245	15745.55448
246	15738.45747
247	15692.55321
248	15672.7411
249	15643.24234
250	15620.6686
251	15600.00104
252	15586.02088
253	15566.95802
254	15551.48107
255	15535.19437
256	15498.12436
257	15495.31437
258	15479.98302
259	15433.60589
260	15410.3359
261	15388.91064
262	15364.45817
263	15323.62952
264	15321.26942
265	15299.90842
266	15286.48957
267	15267.09718
268	15250.72849
269	15229.2061
270	15208.43075
271	15197.69099
272	15174.54039
273	15153.78264
274	15124.45258
275	15109.49773
276	15089.79891
277	15087.54089
278	15041.20702
279	15012.59199
280	14993.58245
281	14959.52675
282	14943.45005
283	14925.50839
284	14910.2039
285	14880.57695
286	14855.90438
287	14829.13522
288	14800.6679
289	14790.04824
290	14762.96463
291	14752.52158
292	14729.37836
293	14722.80673
294	14714.91763
295	14680.96825
296	14652.33226
297	14634.70784
298	14631.65317
299	14623.07753
300	14615.89501
301	14598.48568
302	14596.57574
303	14588.97403
304	14576.69668
305	14544.07581
306	14530.40014
307	14508.9058
308	14498.62544
309	14484.87201
310	14460.92738
311	14425.38547
312	14409.77902
313	14408.21492
314	14397.95901
315	14379.22811
316	14366.60084
317	14342.20917
318	14340.16139
319	14327.2522
320	14298.4883
321	14279.22148
322	14270.5298
323	14267.14163
324	14262.65163
325	14225.16745
326	14206.72752
327	14164.29986
328	14157.75931
329	14156.58538
330	14151.53385
331	14145.71646
332	14124.11506
333	14096.65039
334	14081.43537
335	14052.70842
336	14044.8595
337	14032.57682
338	14027.55427
339	14012.03202
340	13984.84915
341	13982.08537
342	13978.80393
343	13951.65829
344	13949.34337
345	13924.88742
346	13921.34481
347	13911.32839
348	13889.34585
349	13879.58893
350	13873.90296
351	13852.58538
352	13850.91287
353	13837.85622
354	13835.25478
355	13829.53629
356	13824.06224
357	13822.96474
358	13821.20039
359	13793.40727
360	13781.61423
361	13779.74658
362	13776.6682
363	13775.01942
364	13774.2361
365	13761.84108
366	13750.45506
367	13746.99869
368	13744.27911
369	13742.46463
370	13728.86528
371	13708.452
372	13706.33523
373	13704.46063
374	13674.09903
375	13655.07604
376	13631.39888
377	13600.0342
378	13597.06363
379	13593.67484
380	13592.32806
381	13587.98026
382	13549.45426
383	13531.83059
384	13516.64578
385	13494.61493
386	13469.73516
387	13456.1738
388	13437.5908
389	13420.47286
390	13400.54027
391	13396.93613
392	13393.46736
393	13365.10434
394	13361.81528
395	13352.55244
396	13340.97119
397	13321.70509
398	13320.2089
399	13318.23117
400	13312.29781
401	13310.64698
402	13309.27349
403	13308.07295
404	13291.93237
405	13291.31375
406	13288.81382
407	13262.8019
408	13249.76372
409	13244.98255
410	13220.00241
411	13202.79512
412	13198.91193
413	13177.50312
414	13176.88877
415	13168.14992
416	13166.06258
417	13159.22102
418	13144.47136
419	13140.01903
420	13111.18347
421	13101.96521
422	13096.81136
423	13085.50869
424	13078.65734
425	13071.18342
426	13039.79432
427	13031.82997
428	13027.00324
429	13002.15891
430	12988.72587
431	12985.37938
432	12966.11551
433	12950.7393
434	12926.15143
435	12915.22574
436	12911.23671
437	12891.98926
438	12878.44481
439	12854.71982
440	12840.10693
441	12832.87257
442	12807.52061
443	12806.94679
444	12798.58881
445	12783.30746
446	12774.31898
447	12747.02517
448	12731.68046
449	12721.89252
450	12711.82654
451	12698.1142
452	12696.05582
453	12694.33486
454	12678.51648
455	12671.57954
456	12654.84062
457	12650.5002
458	12647.3419
459	12643.76823
460	12636.52741
461	12627.63117
462	12613.15532
463	12605.23487
464	12583.93921
465	12579.44546
466	12567.88807
467	12565.39317
468	12562.93928
469	12551.15492
470	12538.64569
471	12516.26777
472	12505.981
473	12500.50361
474	12493.58867
475	12486.27296
476	12463.01101
477	12459.15627
478	12435.70229
479	12415.10137
480	12414.48809
481	12413.67203
482	12402.81848
