iter	Passed	Remaining
0	22	11138
1	43	10774
2	69	11453
3	93	11628
4	116	11571
5	139	11474
6	161	11407
7	184	11341
8	207	11308
9	224	11019
10	246	10954
11	269	10941
12	291	10918
13	313	10889
14	335	10863
15	358	10849
16	381	10838
17	405	10851
18	429	10878
19	453	10894
20	477	10900
21	501	10889
22	529	10972
23	553	10968
24	575	10935
25	600	10939
26	623	10915
27	648	10938
28	672	10927
29	696	10915
30	719	10881
31	741	10846
32	763	10810
33	786	10774
34	808	10742
35	831	10715
36	854	10691
37	877	10670
38	900	10648
39	943	10853
40	961	10767
41	983	10725
42	1006	10697
43	1014	10510
44	1036	10476
45	1057	10434
46	1080	10417
47	1120	10553
48	1159	10669
49	1200	10803
50	1239	10912
51	1278	11013
52	1317	11107
53	1356	11203
54	1395	11289
55	1435	11378
56	1474	11460
57	1513	11530
58	1551	11598
59	1590	11664
60	1630	11731
61	1657	11710
62	1696	11769
63	1736	11826
64	1776	11885
65	1814	11930
66	1853	11978
67	1892	12023
68	1931	12064
69	1971	12109
70	2010	12150
71	2049	12184
72	2090	12226
73	2128	12254
74	2160	12245
75	2198	12265
76	2236	12288
77	2275	12309
78	2293	12223
79	2329	12228
80	2365	12238
81	2406	12266
82	2444	12281
83	2483	12298
84	2508	12245
85	2545	12253
86	2583	12264
87	2622	12278
88	2664	12304
89	2704	12320
90	2743	12331
91	2782	12339
92	2821	12345
93	2859	12349
94	2897	12353
95	2935	12354
96	2974	12359
97	3014	12363
98	3053	12368
99	3099	12397
100	3138	12399
101	3177	12398
102	3216	12396
103	3255	12394
104	3293	12390
105	3331	12384
106	3364	12356
107	3387	12295
108	3410	12233
109	3433	12172
110	3456	12112
111	3479	12053
112	3502	11993
113	3523	11932
114	3546	11872
115	3569	11814
116	3592	11760
117	3615	11703
118	3640	11655
119	3663	11601
120	3687	11549
121	3710	11495
122	3732	11441
123	3755	11388
124	3778	11335
125	3800	11281
126	3823	11229
127	3845	11177
128	3868	11126
129	3891	11075
130	3913	11024
131	3936	10974
132	3959	10925
133	3982	10876
134	4004	10827
135	4027	10780
136	4051	10733
137	4073	10686
138	4097	10642
139	4121	10597
140	4144	10551
